,sort,sc,sales_channel2,value
0,1,Dealers sales channel,Dealers sales channel,418946.7600
1,2,Dealers sales channel - leads,,0.0000
2,3,Direct sales and big merchants,Direct sales and big merchants,48509.5200
3,4,Direct Sales - Key clients,Direct Sales - Key clients,182.0000
4,5,MILLENNIUM,MILLENNIUM,48794.6600
5,6,Cooperative Banks,Cooperative Banks,555.0000
6,7,Sales representatives,,0.0000
7,8,Regional Sales Managers,Regional Sales Managers,2353.1000
8,9,DSA,,0.0000
9,10,Corporate Partners,,0.0000
10,11,GL migration,,0.0000
11,12,Remote sales Millennium,Remote sales Millennium,2915.6800
12,13,Remote sales NestBank,Remote sales NestBank,0.0000
13,14,Remote sales other,Remote sales other,53095.7800
14,15,ICP,,0.0000
15,16,Multipay,,0.0000
16,17,Operations,Operations,33129.9300
17,18,No channel info,,0.0000
