,sort,sc,sc_symbol2,rok,week_number,qty
0,1,Dealers sales channel,DL,2024.0,5.0,2031977.0
1,2,Dealers sales channel - leads,DL-LEAD,2024.0,5.0,3434.0
2,3,Direct sales and big merchants,Direct sales,2024.0,5.0,204856.0
3,4,Direct Sales - Key clients,DSK,2024.0,5.0,12717.0
4,5,MILLENNIUM,MM,2024.0,5.0,70661.0
5,6,Cooperative Banks,BANKI,2024.0,5.0,3309.0
6,7,Sales representatives,SR,2024.0,5.0,53079.0
7,8,Regional Sales Managers,RMS,2024.0,5.0,171044.0
8,9,DSA,,,,
9,10,Corporate Partners,CP,2024.0,5.0,73.0
10,11,GL migration,GL,2024.0,5.0,62154.0
11,12,Remote sales Millennium,Remote sales Millennium,2024.0,5.0,2372.0
12,13,Remote sales NestBank,Remote sales NestBank,2024.0,5.0,182.0
13,14,Remote sales other,Remote sales other,2024.0,5.0,27823.0
14,15,ICP,ICP,2024.0,5.0,14891.0
15,16,Multipay,Multipay,2024.0,5.0,3806.0
16,17,Operations,OP,2024.0,5.0,50029.0
17,18,No channel info,No channel info,2024.0,5.0,4272.0
