,sort,sc,sales_channel2,value
0,1,Dealers sales channel,Dealers sales channel,820161.6900
1,2,Dealers sales channel - leads,,0.0000
2,3,Direct sales and big merchants,Direct sales and big merchants,141631.9900
3,4,Direct Sales - Key clients,,0.0000
4,5,MILLENNIUM,MILLENNIUM,390110.8400
5,6,Cooperative Banks,,0.0000
6,7,Sales representatives,,0.0000
7,8,Regional Sales Managers,Regional Sales Managers,115665.5200
8,9,DSA,,0.0000
9,10,Corporate Partners,Corporate Partners,0.0000
10,11,GL migration,,0.0000
11,12,Remote sales Millennium,Remote sales Millennium,4966.0200
12,13,Remote sales NestBank,Remote sales NestBank,0.0000
13,14,Remote sales other,Remote sales other,66952.1000
14,15,ICP,,0.0000
15,16,Multipay,,0.0000
16,17,Operations,Operations,30873.3100
17,18,No channel info,,0.0000
