,sort,sc,sales_channel2,rok,week_number,number_of_tvid_transaction
0,1,Dealers sales channel,Dealers sales channel,2023.0,36.0,101
1,2,Dealers sales channel - leads,,,,0
2,3,Direct sales and big merchants,Direct sales and big merchants,2023.0,36.0,10
3,4,Direct Sales - Key clients,Direct Sales - Key clients,2023.0,36.0,1
4,5,MILLENNIUM,MILLENNIUM,2023.0,36.0,17
5,6,Cooperative Banks,,,,0
6,7,Sales representatives,,,,0
7,8,Regional Sales Managers,Regional Sales Managers,2023.0,36.0,2
8,9,DSA,,,,0
9,10,Corporate Partners,,,,0
10,11,GL migration,,,,0
11,12,Remote sales Millennium,Remote sales Millennium,2023.0,36.0,2
12,13,Remote sales NestBank,Remote sales NestBank,2023.0,36.0,1
13,14,Remote sales other,Remote sales other,2023.0,36.0,5
14,15,ICP,,,,0
15,16,Multipay,,,,0
16,17,Operations,Operations,2023.0,36.0,5
17,18,No channel info,,,,0
