,sort,sc,sc_symbol2,rok,week_number,POS
0,1,Dealers sales channel,DL,2024.0,5.0,94
1,2,Dealers sales channel - leads,,,,0
2,3,Direct sales and big merchants,Direct sales,2024.0,5.0,83
3,4,Direct Sales - Key clients,,,,0
4,5,MILLENNIUM,MM,2024.0,5.0,16
5,6,Cooperative Banks,,,,0
6,7,Sales representatives,,,,0
7,8,Regional Sales Managers,RMS,2024.0,5.0,21
8,9,DSA,,,,0
9,10,Corporate Partners,,,,0
10,11,GL migration,,,,0
11,12,Remote sales Millennium,Remote sales Millennium,2024.0,5.0,7
12,13,Remote sales NestBank,,,,0
13,14,Remote sales other,Remote sales other,2024.0,5.0,5
14,15,ICP,,,,0
15,16,Multipay,,,,0
16,17,Operations,OP,2024.0,5.0,2
17,18,No channel info,,,,0
